mae,mse,rmse,AIC,BIC,p-value,Model Name
3.28,17.86,4.23,4173.66,4187.44,0.0,"ARIMA (1,1,1)"
3.0,15.27,3.91,4078.5,4129.02,0.0,"ARIMA(1,1,1)"
3.25,17.51,4.18,4161.01,4179.38,0.03,"SARIMAX (2, 1, 1)"
2.94,14.69,3.83,4053.01,4108.12,0.03,"SARIMAX (2, 1, 1)"
2.93,14.6,3.82,4053.0,4117.3,0.03,"SARIMAX (3, 1, 2)"
